Golf | Star,Small,Cold,Blue,Fast
Scary Cat | Lion,Small,Red,cat,scary
Factory | Cute,factory,Red,Cat,Sad
Wizard | wizard,Horse,Lion,Cat,Fast
Scary Tree | Cute,Big,Happy,Sun,scary
Truck | Shark,truck,Angry,Fast,Funny
River | Star,Hot,river,Slow,Fast
Sad Bear | Tree,sad,Small,Shark,Bear
Wizard | wizard,Cloud,Small,Red,Whale
Funny Shark | Cute,Fish,Hot,Lion,Angry
Slow Flower | Cute,Happy,Small,flower,Cold
Happy Tree | happy,Cute,Big,Hot,Fish
Farmer | Tree,Hot,Lion,Green,farmer
Happy Shark | happy,Horse,Flower,Whale,shark
Cold Sun | Happy,sun,Cold,Sad,Flower
Dinosaur | Happy,Lion,Shark,Bear,Funny
Bridge | Tree,Fish,bridge,Green,Blue
Happy Lion | happy,Cute,Star,Shark,Blue
Happy Flower | happy,Horse,Hot,Fish,Cold
Slow Bear | Hot,Cold,Shark,slow,bear
Scary Moon | Red,Sad,Moon,moon,Slow
Happy Fish | happy,Tree,Cloud,Sun,fish
Hot Lion | hot,Hot,Small,Red,lion
Hot Moon | hot,Horse,Sad,moon,Slow
Green Lion | Tree,Cloud,Cold,Red,green
Forest | Cute,Happy,forest,Slow,Fast
Red Moon | Cold,Red,Sad,red,moon
Cute Cat | Cold,Sun,Green,cat,Angry
Green Bird | bird,Lion,Cold,green,Blue
Table | Happy,Hot,Shark,table,Funny
Happy Star | happy,Hot,Lion,Cat,Sad
Happy Fish | happy,Star,Small,Cat,Big
Green Bear | Fish,green,Sad,Whale,Dog
Bus | bus,Bear,Sun,Cat,Big
Red Cat | Cloud,Horse,Shark,red,cat
Small Whale | Horse,Shark,Sun,small,Angry
Small Tree | Horse,Cold,Red,Blue,Flower
Happy Dog | happy,Cute,Cold,Shark,Sad
Funny Bird | Cute,bird,Shark,Cat,Sad
Happy Cat | happy,Cute,Sad,Green,cat
Artist | Hot,Lion,Cold,Sad,artist
Funny Fish | Cloud,Happy,Small,Bear,Sad
Funny Horse | Star,horse,Red,Cat,Blue
Hot Shark | hot,Hot,Angry,shark,Fast
Green Cloud | Cute,Horse,Happy,Fish,green
Painter | Tree,Cold,Bear,Cat,painter
Small Moon | Fish,Cold,Cat,Green,moon
Jungle | jungle,Green,Flower,Angry,Funny
Funny Flower | Happy,flower,Bear,Cat,Blue
Green Star | Star,Small,green,Green,star
Hot Sun | hot,Cloud,Fish,sun,Red
Green Horse | Star,horse,green,Sad,Whale
Slow Whale | Cloud,slow,Cat,Flower,Whale
Cold Lion | Cute,Horse,Cold,Red,Cat
Shop | Tree,Star,Cloud,shop,Small
Funny Flower | Horse,Lion,flower,Sad,Blue
Garden | garden,Sun,Flower,Slow,Big
Cold Bear | Hot,Bear,Green,Slow,bear
Cold Fish | Tree,Horse,Happy,Blue,cold
Church | Tree,Happy,church,Sun,Cat
Green Sun | sun,Sun,green,Sad,Green
Violin | Happy,violin,Bear,Sun,Whale
Small Whale | Star,Fish,Blue,small,whale
Chef | chef,Cold,Bear,Moon,Fast
Highway | highway,Star,Shark,Cold,Bear
Angry Tree | Star,Cloud,Happy,Lion,angry
River | Horse,Happy,Hot,Sun,Red
Small Sun | Happy,sun,Sun,Sad,small
Clown | Cute,Horse,Blue,Flower,clown
Cute Whale | Fish,Sad,Green,Flower,whale
Helicopter | Cute,Fish,Hot,helicopter,Sun
Magazine | Star,Cloud,Horse,Red,magazine
Fast Cloud | Cute,Hot,Cold,Sad,Blue
Golf | Small,Shark,Cat,Slow,golf
Music | Cute,Shark,Cold,music,Sun
Bicycle | Cloud,Happy,bicycle,Red,Moon
Blue Flower | blue,Cloud,Small,flower,Sun
Happy Lion | happy,Tree,Red,Sad,lion
Factory | Lion,factory,Sad,Flower,Moon
Cute Star | Shark,Cat,star,Whale,Angry
Singer | Cute,Funny,Shark,Sad,Big
Hot Fish | Star,hot,fish,Slow,Big
Cute Flower | Fish,Hot,Cold,flower,Sad
Red Star | Cute,Lion,Sun,red,Green
Computer | Tree,Cloud,Fish,Lion,computer
Robot | Tree,Star,robot,Red,Slow
Cute Star | Tree,Bear,Red,star,cute
Cold Horse | Cute,Star,Horse,Happy,horse
Farmer | Fish,Red,Moon,farmer,Fast
Funny Fish | Tree,Sun,Sad,Whale,funny
Island | Tree,Happy,Shark,Blue,Moon
Cute Whale | Star,Horse,Happy,Cold,Slow
Happy Tree | happy,Star,Horse,Small,Sad
Hot Sun | hot,sun,Sad,Blue,Slow
Golf | Happy,Lion,Flower,Angry,Fast
Happy Moon | happy,Fish,Lion,Moon,moon
Cold Whale | Tree,Star,Small,Cat,Sad
Big Star | Star,big,Lion,Flower,star
Green Bird | bird,Bear,Sun,green,Big
Angry Bear | Cute,Star,Happy,Bear,angry
Slow Shark | Shark,Bear,Sun,slow,Slow
Slow Bird | Cute,bird,slow,Blue,Cat
Actor | actor,Horse,Sun,Blue,Fast
Painter | Shark,Bear,Flower,painter,Funny
Fast Bear | Lion,Cat,Green,Flower,fast
Desert | desert,Cute,Red,Whale,Big
Funny Shark | Cold,Dog,Slow,Angry,shark
Hot Bird | Star,bird,hot,Lion,Bear
Farmer | Cold,Sun,Flower,Slow,farmer
Computer | Fish,Small,computer,Flower,Slow
Airport | Star,airport,Horse,Bear,Sad
Mosque | mosque,Cloud,Small,Flower,Moon
Big Fish | big,Small,Cat,Moon,Big
Fast Moon | Tree,Cold,moon,Angry,fast
Slow Dog | Tree,Shark,Bear,slow,Cat
Cute Bird | bird,Fish,Hot,Shark,Sad
Small Dog | Cute,Tree,Sad,Green,dog
Boxing | Tree,Happy,boxing,Cold,Bird
Fast Star | Red,Cat,Flower,star,Moon
Volcano | Tree,Cloud,Fish,Red,Whale
Small Tree | Big,Cloud,Fish,Moon,small
Angry Sun | Happy,sun,Small,Slow,Whale
Camera | Tree,Blue,Green,camera,Big
Computer | Star,Scary,computer,Slow,Funny
Blue Bird | bird,blue,Happy,Small,Green
Rollercoaster | rollercoaster,Fish,Lion,Bear,Sun
Green Shark | Small,green,Cat,Moon,shark
Sad Moon | Happy,sad,Cold,Sad,Green
Green Fish | Tree,Happy,Fish,Lion,Sun
Sad Bird | Tree,bird,sad,Cold,Shark
Slow Cloud | Star,Bear,slow,Sad,Flower
Hockey | Cute,Fish,hockey,Small,Sad
Yoga | Cloud,Cold,yoga,Sad,Fast
Ocean | ocean,Happy,Small,Blue,Whale
Forest | Tree,Horse,forest,Cat,Moon
Angry Shark | Cloud,Hot,Green,Flower,shark
Cold Flower | Horse,Hot,Cold,flower,Sad
Happy Moon | happy,Happy,Cat,Blue,moon
Blue Lion | Tree,blue,Horse,Cat,lion
Big Flower | Cute,Tree,big,flower,Red
Scary Whale | Shark,Sun,Green,Whale,whale
Cold Lion | Hot,Lion,Red,lion,Whale
Sad Shark | Hot,sad,Fish,Shark,Sun
Castle | castle,Small,Cold,Sad,Blue
Fast Dog | Horse,Happy,Cat,dog,fast
Blue Tree | blue,Horse,Happy,Lion,Flower
Garden | Scary,Cloud,garden,Sad,Angry
Song | Cute,Star,Horse,Happy,Hot
Cute Star | Hot,Small,Shark,Flower,star
Fast Tree | Cute,Bear,Red,Green,Moon
Angry Flower | Lion,flower,Shark,Blue,Slow
Cold Shark | Star,Shark,Red,Blue,shark
Football | Cute,football,Lion,Cold,Sun
Cute Star | Horse,Blue,star,Moon,Dog
Happy Star | happy,Cloud,Lion,Shark,Blue
Happy Star | happy,Sun,Red,Flower,star
Funny Sun | Star,sun,Blue,Moon,funny
Happy Tree | happy,Tree,Cold,Cat,Flower
Funny Lion | Cloud,Blue,lion,Whale,funny
Ocean | ocean,Shark,Bear,Sad,Green
Small Tree | Big,Bear,Flower,small,Angry
Angry Fish | Small,Red,Cat,Sad,Slow
Library | library,Hot,Red,Sad,Green
Violin | violin,Small,Sun,Blue,Angry
Highway | highway,Fish,Lion,Small,Sun
Skateboard | skateboard,Star,Hot,Cat,Big
Magazine | Horse,Red,magazine,Blue,Green
Green Fish | Horse,Lion,Cold,green,Angry
Bicycle | Happy,Fish,bicycle,Sun,Cat
Green Shark | Happy,Small,Cold,Shark,Red
Pilot | Blue,Green,Slow,Fast,pilot
Fast Horse | Happy,horse,Bear,Sun,Flower
Funny Bird | bird,Shark,Moon,Slow,funny
Big Tree | Cute,big,Fish,Small,Shark
Boxing | Happy,Fish,boxing,Cold,Slow
Slow Bear | slow,Cat,Green,Slow,bear
Fast Bird | Tree,bird,Cold,Slow,fast
Cold Fish | Small,Cold,Sun,Green,Angry
Sad Whale | Hot,sad,Sun,Blue,Green
Red Moon | Tree,Star,Happy,red,moon
Angry Star | Cloud,Small,Sun,Blue,star
Cute Bear | Cute,Star,Cloud,Shark,Whale
Jungle | Cute,Bear,jungle,Whale,Funny
Sad Tree | Tree,Hot,sad,Bird,Dog
Hot Shark | Tree,hot,Happy,Lion,shark
Cold Horse | Tree,Star,horse,Shark,Flower
Hot Cloud | Cute,hot,Cloud,Lion,Small
Happy Whale | happy,Cloud,Horse,whale,Big
Angry Whale | Hot,Small,Slow,Whale,angry
Cute Tree | Small,Bird,Sun,Green,tree
Green Cloud | Horse,Fish,Small,Bear,green
Bottle | Horse,Small,Shark,bottle,Fast
Cold Dog | Fish,Lion,dog,Whale,cold
Slow Lion | Happy,Hot,Lion,Sun,slow
Small Tree | Happy,Sad,Moon,small,tree
Singer | Hot,Cold,Shark,Slow,Whale
Angry Tree | Star,Hot,Fish,Bear,angry
Angry Flower | Happy,Lion,flower,Shark,angry
Happy Fish | happy,Tree,Happy,Fish,Bear
Scary Bear | Bear,Green,Moon,Whale,scary
Angry Whale | Cold,Red,Sad,Green,Angry
Blue Cat | Cute,blue,Sun,Red,Cat
Blue Bear | Tree,blue,Hot,Small,Sun
Sad Lion | Cute,Hot,sad,Sun,Blue
Green Horse | Cute,Happy,horse,green,Blue
Cute Cloud | Cute,Hot,Small,Moon,Slow
School | Tree,Happy,school,Cat,Blue
Angry Cat | Hot,Shark,Red,Blue,cat
Judo | judo,Small,Bear,Red,Sad
Hot Shark | hot,Horse,Small,Bear,shark
Red Horse | Fish,horse,red,Flower,Moon
Artist | Hot,Cat,Green,Moon,artist
Library | library,Happy,Fish,Bear,Cat
Scary Flower | Fish,Lion,flower,Bear,Blue
Happy Cloud | happy,Cloud,Shark,Sad,Moon
Happy Cat | happy,Happy,Cold,Shark,Bird
Red Sun | Tree,Star,sun,Red,Blue
Fast Fish | Tree,Happy,Fish,Red,Sad
Blue Star | Star,blue,Cloud,Bear,Sad
Music | Cold,Shark,music,Cat,Flower
Small Fish | Happy,Fish,Fast,small,Whale
Shop | Scary,shop,Lion,Shark,Whale
Music | Horse,Small,music,Sad,Green
Laptop | Star,laptop,Bear,Red,Fast
Angry Shark | Hot,Fish,Green,Flower,shark
Hot Bear | Cute,Tree,hot,Cold,Sad
Happy Sun | happy,Cloud,Fish,sun,Sun
Sad Bear | Cute,Scary,sad,Lion,Bear
Fast Flower | Tree,Cute,Fish,flower,Blue
Cute Fish | Star,Scary,Lion,Cold,cute
Happy Bear | happy,Tree,Horse,Happy,Sad
Mosque | mosque,Cold,Moon,Slow,Fast
Driver | Horse,Shark,Cold,Whale,Funny
Spaceship | Star,Cloud,Shark,Big,spaceship
Market | Star,Horse,market,Shark,Cold
Scary Horse | Star,Cloud,Fish,horse,Bear
Red Moon | Star,Cloud,Horse,Small,Blue
Angry Cloud | Tree,Cold,Green,Flower,Whale
Green Star | Horse,Fish,Sun,green,Blue
Cute Bear | Cold,Sun,Dog,bear,cute
Cold Bear | Cute,Tree,Cold,Bear,bear
Firefighter | Cold,Red,Cat,Moon,firefighter
Sad Fish | Hot,sad,Shark,Cat,Green
Big Lion | Star,big,Hot,Blue,lion
Angry Dog | Fish,Lion,Bear,dog,Whale
Sad Whale | sad,Lion,Shark,Flower,whale
Church | Hot,church,Sun,Cat,Blue
Guitar | Hot,Lion,Small,Cold,guitar
Bridge | Cloud,Cold,bridge,Green,Big
Green Shark | Cute,Cloud,Cold,green,Slow
Princess | Lion,Small,Sun,princess,Whale
Red Cat | Cute,Shark,Sad,red,Green
Happy Shark | happy,Fish,Cold,shark,Angry
Sad Shark | Happy,sad,Lion,Small,Cold
Judo | judo,Sun,Cat,Flower,Moon
Sad Bird | Cute,bird,Cloud,sad,Sun
Red Star | Cute,Horse,Cat,Blue,red
Angry Flower | Fish,Hot,flower,Flower,Angry
Farmer | Cute,Lion,Shark,Cold,Angry
Funny Horse | Lion,horse,Small,Green,funny
Scary Lion | Tree,Horse,Blue,lion,Whale
Fast Bear | Cute,Shark,Cold,Slow,Whale
School | Cute,Shark,school,Sun,Angry
Fast Tree | Happy,Sad,Green,Slow,fast
Castle | Horse,castle,Bear,Sun,Blue
Red Dog | Cute,Small,Red,red,dog
Tennis | Horse,tennis,Hot,Red,Cat
Clown | Horse,Bear,Blue,Green,clown
Slow Bird | bird,Lion,slow,Cat,Moon
Zoo | zoo,Happy,Bird,Big,Fast
Cute Cat | Cloud,Sun,Cat,Blue,Flower
Boxing | boxing,Cat,Sad,Slow,Whale
Slow Bird | Star,bird,Hot,slow,Blue
Cute Dog | Hot,Cold,Red,Blue,dog
Blue Star | blue,Fish,Bear,Green,star
Song | Cold,Sad,song,Flower,Funny
Scary Lion | Fish,Sun,lion,Flower,Slow
Hot Moon | Cute,Tree,hot,Happy,Shark
Small Lion | Cloud,Bear,Cat,Green,lion
Red Whale | Cute,Scary,Horse,Sun,red
Sad Sun | Cloud,sad,sun,Cold,Red
Funny Bear | Happy,Small,Sun,funny,bear
Scary Shark | Small,Sun,Sad,shark,scary
Violin | Star,Fish,violin,Whale,Angry
Sad Shark | Hot,sad,Sun,Cat,Sad
Funny Sun | Star,Horse,Happy,sun,Sun
Island | Cute,Hot,Red,Moon,Whale
Scary Cat | Cute,Lion,Sun,cat,Angry
Red Fish | Hot,Bear,Red,red,Big
Blue Tree | Big,Star,blue,Cold,Blue
Cold Lion | Tree,Horse,Sun,lion,cold
Blue Cloud | Cute,blue,Cloud,Cold,Red
Fast Dog | Tree,Shark,Cat,dog,Whale
Small Sun | Star,sun,small,Whale,Big
Blue Dog | blue,Cloud,Lion,Cold,Blue
Hot Dog | Tree,hot,Fish,Small,Blue
King | Small,king,Red,Cat,Green
Blue Lion | Cute,blue,Horse,Sad,lion
Sad Whale | Star,Cloud,Horse,Hot,sad
Sad Star | Star,sad,Small,Red,Green
Music | Fish,music,Moon,Angry,Whale
Green Shark | Star,Happy,Shark,green,Red
Cute Whale | Star,Horse,Red,Moon,whale
Green Cat | Cloud,Hot,Small,Sun,green
Fast Fish | Tree,Bird,Slow,Whale,fast
Mountain | Star,Horse,Small,mountain,Slow
Sad Cat | Cloud,Happy,sad,Lion,Sun
Big Bear | Cute,big,Sad,Green,Slow
Small Cat | Tree,Star,Fish,Sad,cat
Blue Lion | blue,Small,Green,lion,Moon
Funny Whale | Star,Happy,whale,Green,Slow
Blue Moon | Tree,blue,moon,Big,Fast
Park | Star,Cloud,park,Moon,Slow
Football | Star,football,Cloud,Bear,Flower
Sad Horse | Cloud,Horse,sad,horse,Bear
Angry Dog | Tree,Bear,Cat,dog,Whale
Scary Lion | Sun,Cat,lion,Slow,Angry
Astronaut | Star,Horse,Dog,astronaut,Funny
Singer | Star,Small,Cat,Angry,singer
Guitar | Cute,Hot,Lion,Blue,guitar
Cute Tree | Cloud,Hot,Blue,Moon,Whale
River | Horse,river,Slow,Big,Fast
Skateboard | Tree,skateboard,Star,Cold,Big
Scary Cloud | Cloud,Happy,Bear,Flower,cloud
Big Cat | Cute,Tree,big,Red,Green
Red Dog | Small,red,dog,Green,Whale
Scary Flower | Tree,Lion,flower,Shark,Slow
Green Dog | Tree,Horse,Shark,Bird,green
Restaurant | restaurant,Hot,Fish,Sun,Sad
Cute Whale | Cloud,Horse,whale,cute,Fast
Funny Bear | Hot,Lion,Blue,Whale,funny
Angry Horse | Horse,Happy,horse,Small,Blue
Hot Tree | hot,Happy,Lion,Green,Flower
King | Lion,Shark,king,Red,Sun
Dance | Lion,Small,Red,Blue,Sad
Happy Dog | happy,Cloud,Shark,Cat,Sad
Red Cloud | Shark,Sun,Red,red,cloud
Sad Cloud | sad,Lion,Bear,Flower,Moon
Green Shark | Cute,Horse,Cold,Sun,green
Cold Lion | Fish,Small,Bear,Blue,lion
Elephant | Tree,Small,Sun,elephant,Flower
Actor | Tree,actor,Cloud,Shark,Green
Blue Lion | Cute,Star,blue,Red,Cat
Scary Cat | Tree,Cloud,Happy,Flower,cat
Blue Tree | Big,blue,Sad,Whale,tree
Funny Cat | Cute,Fish,Shark,Blue,cat
Slow Shark | Tree,Horse,Hot,Shark,slow
Scary Star | Fish,Cold,Blue,star,scary
Cold Cat | Bear,cat,Whale,Big,cold
Slow Sun | Tree,sun,Shark,slow,Blue
Singer | Cloud,Sun,Sad,Moon,Slow
Green Horse | Horse,horse,Bear,green,Green
Small Lion | Star,Cloud,Lion,lion,small
Small Moon | Lion,Small,Bear,moon,small
Soccer | Happy,soccer,Red,Flower,Moon
Big Dog | big,Cat,Blue,dog,Angry
Cold Sun | sun,Lion,Cold,Bear,Sun
Blue Whale | blue,Cold,Sad,Green,Angry
Cold Tree | Tree,Happy,Bear,Whale,tree
Judo | Hot,judo,Cold,Bear,Sun
Motorcycle | Tree,Horse,Fish,Lion,motorcycle
Slow Whale | Horse,Lion,slow,Sad,Moon
Blue Shark | blue,Red,Blue,Flower,Moon
Baker | Tree,Star,Shark,Sun,Sad
Factory | Fish,Shark,factory,Sun,Cat
Tiger | Cloud,Shark,Blue,Whale,tiger
Big Flower | big,Lion,flower,Sun,Slow
Cold Cat | Tree,Bear,cat,Whale,Big
Cold Cat | Star,Lion,Cat,cat,Moon
Big Sun | big,Happy,Hot,sun,Shark
Big Fish | Cloud,big,Shark,Cat,Sad
Blue Star | Tree,blue,Small,Shark,Red
Big Shark | Tree,big,Small,Shark,Red
Cute Dog | Cute,Cloud,Red,Green,dog
Small Bear | Hot,Small,Cold,Red,small
Fast Lion | Star,Fish,Shark,lion,Angry
Angry Horse | Cloud,Horse,Hot,horse,Sad
Funny Whale | Horse,Hot,Bird,whale,funny
Scientist | Tree,scientist,Sun,Cat,Fast
Funny Star | Cute,Cloud,Happy,Cat,star
Cold Whale | Cloud,Horse,Cold,Red,whale
Cute Sun | Star,Fish,sun,Flower,Dog
Red Sun | Cute,Star,Happy,sun,Blue
Cold Cloud | Scary,Horse,Sun,Whale,cloud
Cold Fish | Star,Horse,Red,cold,fish
Hot Star | hot,Horse,Cold,star,Slow
Bridge | Star,Happy,Sad,bridge,Blue
Big Moon | Star,big,Small,Blue,Moon
Table | Star,Cloud,Cold,Sun,table
Yoga | Scary,yoga,Blue,Slow,Angry
Shop | Cloud,Hot,shop,Bear,Cat
Swimming | Cute,Fish,Lion,Cold,swimming
Airport | Cute,Tree,Cold,Green,Fast
Green Bird | Cute,Star,bird,green,Green
Scary Bird | Cute,bird,Horse,Fish,Lion
Sad Dog | Star,Hot,sad,Lion,Red
Cold Bird | bird,Cloud,Fish,Hot,Small
Farmer | Cute,Tree,Shark,Sun,Red
Happy Fish | happy,Tree,Small,Shark,Sad
Happy Bear | happy,Lion,Bear,Sun,Red
Firefighter | Cloud,Lion,Red,Sad,firefighter
Cold Fish | Star,Bear,Green,Whale,cold
Cute Tree | Cloud,Shark,Red,Moon,Dog
Happy Moon | happy,Tree,Lion,Sad,Green
Yoga | Cute,Cold,yoga,Sad,Flower
Red Horse | Horse,horse,Shark,red,Angry
Blue Fish | blue,Horse,Fish,Small,Blue
Scary Sun | sun,Lion,Bear,Cat,Moon
Cold Flower | Tree,Small,flower,Red,Slow
Blue Tree | blue,Hot,Red,Angry,tree
Doctor | Cloud,Lion,Slow,Whale,doctor
Cute Moon | Hot,Small,Sun,Cat,moon
Slow Lion | Star,Fish,Lion,Red,slow
Chocolate | Cloud,chocolate,Fish,Shark,Big
Funny Lion | Tree,Cloud,Fish,lion,Moon
Sad Horse | Tree,Star,Hot,sad,horse
Happy Cat | happy,Hot,Bear,cat,Angry
School | Tree,Star,Happy,school,Red
Cold Lion | Tree,Happy,Fish,lion,Slow
Hot Whale | Cute,hot,Happy,Sad,whale
Princess | Cute,Star,Hot,Shark,princess
Small Whale | Horse,Hot,Blue,small,Slow
Cute Shark | Star,Cloud,Red,Sad,Moon
Hockey | Horse,Lion,hockey,Sad,Moon
Elephant | Small,Cold,Red,elephant,Moon
Sad Horse | sad,Lion,horse,Sun,Slow
